000.000 =============================================================
000.000                     Station B                               
000.000 -------------------------------------------------------------
000.000 Protocol.lib, version 4.0, jiangyanjun0718@bupt.edu.cn
000.000 Channel: 8000 bps, 270 ms propagation delay, bit error rate 1.0E-05
000.000 Log file "D:\ComputerNetworking\Lab1-Windows-VS2017\Debug\datalink-B.log", TCP port 59144, debug mask 0x00
000.000 Station B is connecting station A (TCP port 59144) ... Done.
000.371 New epoch: Fri Apr 12 09:44:18 2024
000.371 =================================================================
000.371 
000.371 Selective Repeat, Designed by ORANGEC, build: Apr  9 2024  15:06:23
127.804 .... 426 packets received, 6862 bps, 85.77%, Err 14 (1.4e-05)
131.757 .... 427 packets received, 6671 bps, 83.38%, Err 15 (1.4e-05)
134.674 .... 441 packets received, 6739 bps, 84.24%, Err 15 (1.4e-05)
136.753 .... 449 packets received, 6757 bps, 84.46%, Err 15 (1.4e-05)
138.880 .... 457 packets received, 6771 bps, 84.64%, Err 15 (1.4e-05)
141.012 .... 465 packets received, 6785 bps, 84.82%, Err 15 (1.3e-05)
143.095 .... 473 packets received, 6801 bps, 85.01%, Err 15 (1.3e-05)
145.206 .... 481 packets received, 6815 bps, 85.19%, Err 15 (1.3e-05)
147.333 .... 489 packets received, 6828 bps, 85.35%, Err 15 (1.3e-05)
149.430 .... 497 packets received, 6842 bps, 85.52%, Err 15 (1.3e-05)
151.543 .... 505 packets received, 6855 bps, 85.68%, Err 15 (1.2e-05)
153.670 .... 513 packets received, 6866 bps, 85.83%, Err 15 (1.2e-05)
155.823 .... 521 packets received, 6877 bps, 85.96%, Err 15 (1.2e-05)
157.903 .... 529 packets received, 6890 bps, 86.13%, Err 15 (1.2e-05)
162.378 .... 532 packets received, 6737 bps, 84.22%, Err 16 (1.2e-05)
164.495 .... 549 packets received, 6863 bps, 85.78%, Err 16 (1.2e-05)
166.609 .... 557 packets received, 6874 bps, 85.93%, Err 16 (1.2e-05)
168.703 .... 565 packets received, 6886 bps, 86.07%, Err 16 (1.2e-05)
170.840 .... 573 packets received, 6896 bps, 86.20%, Err 16 (1.2e-05)
172.940 .... 581 packets received, 6907 bps, 86.34%, Err 16 (1.2e-05)
175.094 .... 589 packets received, 6915 bps, 86.44%, Err 16 (1.1e-05)
177.165 .... 597 packets received, 6927 bps, 86.59%, Err 16 (1.1e-05)
179.307 .... 605 packets received, 6936 bps, 86.70%, Err 16 (1.1e-05)
181.383 .... 613 packets received, 6947 bps, 86.83%, Err 16 (1.1e-05)
183.487 .... 621 packets received, 6956 bps, 86.96%, Err 16 (1.1e-05)
185.617 .... 629 packets received, 6965 bps, 87.06%, Err 16 (1.1e-05)
187.730 .... 637 packets received, 6974 bps, 87.17%, Err 16 (1.1e-05)
189.847 .... 645 packets received, 6982 bps, 87.28%, Err 16 (1.1e-05)
191.941 .... 653 packets received, 6992 bps, 87.39%, Err 16 (1.0e-05)
194.089 .... 661 packets received, 6999 bps, 87.48%, Err 16 (1.0e-05)
196.219 .... 669 packets received, 7006 bps, 87.58%, Err 16 (1.0e-05)
198.305 .... 677 packets received, 7015 bps, 87.69%, Err 16 (1.0e-05)
200.420 .... 685 packets received, 7023 bps, 87.79%, Err 16 (1.0e-05)
202.492 .... 693 packets received, 7032 bps, 87.90%, Err 17 (1.1e-05)
206.484 .... 694 packets received, 6906 bps, 86.32%, Err 17 (1.0e-05)
208.580 .... 710 packets received, 6994 bps, 87.42%, Err 17 (1.0e-05)
210.699 .... 718 packets received, 7001 bps, 87.51%, Err 17 (1.0e-05)
212.801 .... 726 packets received, 7009 bps, 87.61%, Err 17 (1.0e-05)
214.917 .... 734 packets received, 7016 bps, 87.70%, Err 17 (9.9e-06)
220.708 .... 742 packets received, 6906 bps, 86.32%, Err 18 (1.0e-05)
222.807 .... 759 packets received, 6997 bps, 87.47%, Err 18 (1.0e-05)
224.942 .... 767 packets received, 7004 bps, 87.55%, Err 18 (1.0e-05)
227.056 .... 775 packets received, 7011 bps, 87.63%, Err 18 (9.9e-06)
229.197 .... 783 packets received, 7017 bps, 87.71%, Err 18 (9.8e-06)
231.290 .... 791 packets received, 7024 bps, 87.80%, Err 18 (9.7e-06)
233.413 .... 799 packets received, 7030 bps, 87.88%, Err 18 (9.7e-06)
235.509 .... 807 packets received, 7038 bps, 87.97%, Err 18 (9.6e-06)
237.634 .... 815 packets received, 7044 bps, 88.04%, Err 19 (1.0e-05)
241.555 .... 816 packets received, 6937 bps, 86.72%, Err 19 (9.8e-06)
243.688 .... 832 packets received, 7011 bps, 87.64%, Err 19 (9.8e-06)
245.787 .... 840 packets received, 7018 bps, 87.73%, Err 19 (9.7e-06)
250.819 .... 845 packets received, 6918 bps, 86.47%, Err 20 (1.0e-05)
252.938 .... 861 packets received, 6990 bps, 87.37%, Err 21 (1.0e-05)
255.026 .... 869 packets received, 6997 bps, 87.46%, Err 21 (1.0e-05)
257.212 .... 877 packets received, 7001 bps, 87.51%, Err 21 (1.0e-05)
262.252 .... 882 packets received, 6905 bps, 86.32%, Err 22 (1.1e-05)
264.377 .... 899 packets received, 6982 bps, 87.27%, Err 22 (1.0e-05)
266.477 .... 907 packets received, 6988 bps, 87.35%, Err 22 (1.0e-05)
268.654 .... 915 packets received, 6992 bps, 87.41%, Err 22 (1.0e-05)
270.818 .... 923 packets received, 6997 bps, 87.46%, Err 22 (1.0e-05)
272.950 .... 931 packets received, 7002 bps, 87.53%, Err 22 (1.0e-05)
275.119 .... 939 packets received, 7007 bps, 87.59%, Err 22 (1.0e-05)
277.206 .... 947 packets received, 7013 bps, 87.66%, Err 22 (9.9e-06)
279.290 .... 955 packets received, 7020 bps, 87.74%, Err 22 (9.9e-06)
281.424 .... 963 packets received, 7025 bps, 87.81%, Err 22 (9.8e-06)
283.514 .... 971 packets received, 7031 bps, 87.88%, Err 22 (9.7e-06)
285.652 .... 979 packets received, 7035 bps, 87.94%, Err 22 (9.6e-06)
291.279 .... 986 packets received, 6948 bps, 86.86%, Err 24 (1.0e-05)
294.460 .... 998 packets received, 6957 bps, 86.96%, Err 24 (1.0e-05)
296.570 .... 1011 packets received, 6997 bps, 87.47%, Err 24 (1.0e-05)
298.655 .... 1019 packets received, 7003 bps, 87.54%, Err 24 (1.0e-05)
300.863 .... 1027 packets received, 7006 bps, 87.58%, Err 24 (1.0e-05)
305.598 .... 1031 packets received, 6924 bps, 86.55%, Err 25 (1.0e-05)
307.765 .... 1048 packets received, 6989 bps, 87.36%, Err 26 (1.1e-05)
312.993 .... 1054 packets received, 6911 bps, 86.39%, Err 27 (1.1e-05)
315.092 .... 1071 packets received, 6976 bps, 87.20%, Err 27 (1.1e-05)
317.235 .... 1079 packets received, 6980 bps, 87.25%, Err 28 (1.1e-05)
319.346 .... 1087 packets received, 6986 bps, 87.32%, Err 28 (1.1e-05)
321.421 .... 1095 packets received, 6991 bps, 87.39%, Err 28 (1.1e-05)
323.547 .... 1103 packets received, 6996 bps, 87.45%, Err 28 (1.1e-05)
325.664 .... 1111 packets received, 7001 bps, 87.51%, Err 28 (1.1e-05)
327.758 .... 1119 packets received, 7006 bps, 87.58%, Err 28 (1.1e-05)
329.898 .... 1127 packets received, 7010 bps, 87.63%, Err 28 (1.1e-05)
332.001 .... 1135 packets received, 7015 bps, 87.69%, Err 28 (1.1e-05)
334.080 .... 1143 packets received, 7021 bps, 87.76%, Err 28 (1.0e-05)
336.229 .... 1151 packets received, 7025 bps, 87.81%, Err 28 (1.0e-05)
338.339 .... 1159 packets received, 7029 bps, 87.87%, Err 28 (1.0e-05)
